max_pos,trades,end_eq,net_pnl,ret_pct,cagr_pct,sharpe,sortino,pf,win_rate,mtm_max_dd,avg_r
1,2267,101806.91285714605,91806.91285714589,918.0691285714589,33.677538763181914,2.3301762741841103,3.6303327014216937,1.4045227005425631,51.43361270401412,12.70514976145195,0.18639120028108425
2,4120,569188.4374553729,559188.4374553727,5591.884374553727,65.78960141092875,2.4231683555214665,3.5704592970334645,1.5015643362113136,51.771844660194176,22.206176955486775,0.18670220768504228
3,5651,1147201.6149553873,1137201.6149553868,11372.016149553869,80.98030164621595,2.2870684083929977,3.2047708492132956,1.4699076344803252,51.54839851353743,21.60565463966436,0.18340915195492105
4,6938,1628927.7725446895,1618927.772544689,16189.277725446891,89.09371910028419,2.1488486317561413,2.8430884632866253,1.4151701545917832,51.29720380513116,29.97208063708711,0.18070567738073065
5,7950,2025293.8040179152,2015293.804017915,20152.93804017915,94.31596224774819,2.061820803560853,2.6573898710823536,1.4051921977275077,51.031446540880495,31.810373261706953,0.17768627787870894
6,8764,2406702.2787500676,2396702.2787500676,23967.022787500675,98.55539187287832,2.0430178943603794,2.6157285269841197,1.4171851974815386,51.01551802829758,28.602756845255072,0.17912093204827076
7,9424,2573945.901785789,2562826.3035715045,25628.26303571505,100.230998827162,1.9598301145732997,2.4442239869425784,1.4104795897697457,50.83828522920204,29.005492568602538,0.17507346013407005
8,9945,2771752.104866153,2760632.506651871,27606.325066518708,102.09400852037653,1.9354643441761605,2.4070690824114744,1.4130497781498297,50.829562594268474,29.378090342880796,0.1745947792807197
9,10328,2848386.3137500803,2837266.7155358,28372.667155357998,102.78462095084481,1.8761830073872283,2.2898712615704753,1.40707255264063,50.74554608830364,31.610856095293023,0.17163177415652012
10,10596,2913599.460223292,2902479.862009015,29024.79862009015,103.35962235156151,1.8420852953678835,2.2290319964803187,1.404234098592004,50.64175160437902,32.61067335602225,0.169896347473696
