feature,mean_importance,std_importance,cv
feat_vol_realized_20,0.047798907841638774,0.008881441186871966,0.18580845437508364
feat_trend_ema200_slope,0.043043692158488356,0.0069864798829232695,0.1623113523161259
feat_trend_dist_ema200,0.041628252810400786,0.00751586598844076,0.18054723609641687
feat_vol_atr,0.03542754840370193,0.0034871743632865024,0.09843115090972869
feat_trend_adx,0.03512734895511963,0.004447684516691391,0.126616002886354
feat_trend_ema50_slope,0.032540043939996384,0.004610864941141082,0.1416981780861601
feat_vol_bb_width,0.03249589206044599,0.003644724483716633,0.11215954548768929
feat_vol_squeeze_ratio,0.031561336201138254,0.00508072727083822,0.16097947306346885
feat_osc_roc_24,0.03098085356337631,0.00449730643454693,0.14516405835452428
feat_struct_dist_swing_low,0.030384704510670095,0.0028419085506520177,0.09353089313914618
feat_vol_atr_ratio,0.029933751787682945,0.003712598139308721,0.12402715722512173
feat_vol_atr_pct,0.02890833019935663,0.0034986140782219304,0.12102442631915812
feat_trend_higher_highs,0.02809683033608964,0.007461713782503047,0.265571372046144
feat_trend_dist_ema50,0.027513221544069412,0.000902299940714818,0.03279513957569656
feat_vol_realized_5,0.02703010811939233,0.0037381598442766174,0.13829614841957413
feat_struct_dist_swing_high,0.02693855014251166,0.003510698309077356,0.13032246689242313
feat_struct_swing_breakout,0.026086819079967044,0.002116796504252751,0.08114429351328277
feat_trend_ema20_slope,0.02572770975503198,0.002830842085843782,0.11003086216370693
feat_struct_swing_pullback,0.025000551676605923,0.006980347060529312,0.2792077211264549
feat_trend_higher_lows,0.024501084757647278,0.006156380469183563,0.25126971030382783
feat_trend_di_spread,0.023477923022294938,0.003459256483081725,0.14734082226084355
feat_osc_roc_12,0.02259199188165042,0.002185029486321904,0.09671699147947287
feat_trend_persistence,0.02127309793678822,0.0018441981660818308,0.08669156563664394
feat_osc_rsi,0.02070543374088336,0.001564526976672846,0.07556117858973663
feat_struct_breakout_strength,0.020335246366574612,0.0023068043882906756,0.11343872342173385
feat_struct_dist_vwap,0.019562063583555687,0.002886428570761895,0.14755235604020284
feat_osc_rsi_5,0.01931272684587531,0.002132294976476596,0.11040879900043728
feat_trend_dist_ema20,0.019084530842310304,0.0032415335093326273,0.16985135951815827
feat_osc_roc_5,0.01834568143803602,0.0015932002024979567,0.08684333737501741
feat_vol_bb_position,0.017730224511093517,0.0014232073825658335,0.08027012752576006
feat_struct_dc_position,0.017266347660353242,0.0008835609097354389,0.05117242668316356
feat_osc_momentum_5,0.016355991446052577,0.0026675882768577397,0.1630954800665139
feat_struct_pullback_depth,0.016010454765960254,0.0025682849639890744,0.1604129927308181
feat_time_dow_sin,0.015653159906054016,0.00654572685917384,0.41817287362165223
feat_vol_range_ratio,0.01349814735450375,0.0011718218961853301,0.08681353562156392
feat_vol_range_pct,0.012404274535119305,0.0019409109170361004,0.15647113513498456
feat_liq_body_ratio,0.011354823086466757,0.0015873037256720962,0.13979114545288898
feat_time_hour_cos,0.00987519899166582,0.00047169310723218616,0.04776542808203377
feat_time_hour_sin,0.008690444971603635,0.0007419018811255887,0.08536983820158597
feat_time_dow_cos,0.008131444326058508,0.0010785919213586706,0.13264456818601722
feat_session_minutes_since_london,0.008068522979702654,0.0008276646502298968,0.10257945008175443
feat_trend_score,0.006158097487564865,0.001226523557574122,0.1991724814442868
feat_trend_ema_stack,0.0060754624349738185,0.002987836781843236,0.4917875493137029
feat_liq_volume_ratio,0.004973420580710274,0.009946841161420548,2.0
feat_liq_tick_density,0.00480715566411974,0.00961431132823948,2.0
feat_liq_volume_pct,0.004692049027374834,0.009384098054749669,2.0
feat_session_ny_overlap,0.0014761389747365839,0.00027015118868276266,0.18301202888499776
feat_session_london,0.0013644077945855937,0.0009010603241911885,0.660403969961828
