feature,importance,return_correlation
feat_vol_realized_20,0.05733109493289166,0.032062360542737436
feat_trend_ema200_slope,0.04184746483896443,-0.014773056339275791
feat_trend_dist_ema200,0.040227791145878405,-0.016340230123016324
feat_vol_atr,0.03871522113924089,0.03317165623372831
feat_vol_bb_width,0.03648366891978315,0.021042640938985703
feat_trend_ema50_slope,0.03480911269702017,-0.0051827153974795545
feat_osc_roc_24,0.03370595789822476,0.0025414829770560765
feat_vol_squeeze_ratio,0.03222175153663517,0.005589559462774347
feat_trend_higher_highs,0.03165483064321518,0.03149305017659993
feat_vol_atr_ratio,0.031034781068193573,0.024421455382085157
feat_struct_dist_swing_low,0.02996236406626292,-0.015357874617713388
feat_trend_adx,0.02985817514859704,-0.02038773873058183
feat_trend_dist_ema50,0.02784548542566436,-0.008607315098706745
feat_vol_atr_pct,0.026938210293490812,0.02525094928144053
feat_vol_realized_5,0.02641478409231708,0.024815184827441536
feat_trend_higher_lows,0.025270297790577947,0.019650312764624468
feat_struct_dist_swing_high,0.02396776000791767,-0.005260813619439728
feat_struct_swing_breakout,0.02386901611014349,-0.005260813619439728
feat_osc_roc_12,0.023414554262505802,-0.022987294548694682
feat_trend_ema20_slope,0.022062014813038218,-0.009133294790401762
feat_osc_rsi,0.02062617256487122,-0.012501279767592218
feat_trend_di_spread,0.020610126048787696,-0.00835116123059257
feat_osc_momentum_5,0.01891453977197031,-0.022917625193656713
feat_vol_bb_position,0.018849104186635712,-0.015914239498875736
feat_struct_breakout_strength,0.018820827137463508,-0.006036198389993816
feat_struct_swing_pullback,0.018661556898850542,0.010068092107285414
feat_trend_persistence,0.018103632633950064,-0.0009573462983704633
feat_osc_roc_5,0.017694040631720188,-0.022917625193656713
feat_struct_dist_vwap,0.01701446203015684,-0.01446408124747957
feat_osc_rsi_5,0.01680981049008961,-0.02216721032662869
feat_liq_volume_pct,0.016582263867139735,0.015562804259621315
feat_struct_pullback_depth,0.016112089454790132,0.015271482940225975
feat_trend_dist_ema20,0.015377655023585308,-0.01293926625925811
feat_time_dow_sin,0.014490229397583885,0.00356108166625131
feat_struct_dc_position,0.013954233568585108,-0.015392097411431407
feat_vol_range_ratio,0.013194529577293437,-0.0012050402005980602
feat_liq_volume_ratio,0.011503844225253683,-0.002969383629748722
feat_liq_tick_density,0.010846016961460016,-0.002969383629748722
feat_vol_range_pct,0.010755513666199213,0.003138271201648757
feat_liq_body_ratio,0.010269887088246627,0.0017097564822636051
feat_time_hour_cos,0.008821310338076295,-0.016551472455340673
feat_time_hour_sin,0.007984120289725631,-0.01017636621495192
feat_session_minutes_since_london,0.007021245807197767,0.006439553239623982
feat_time_dow_cos,0.0066901532999511315,0.0084084281563338
feat_trend_score,0.005440592105513501,0.00454490882972284
feat_trend_ema_stack,0.005171868416951626,0.005961656446257046
feat_session_london,0.0010592521633417226,-0.0015515655554874737
feat_session_ny_overlap,0.0009865855240469054,0.015111820815373342
