split,accuracy,brier,r2_mfe,mae_pips,top5_winrate,top5_pnl,samples
Split 1 (2022),0.6547523641609232,0.221315442383351,0.08144037665608528,21.893838419068302,66.98717948717949,7.096955128205099,6239
Split 2 (2023),0.6716583471991125,0.2158803438756983,0.16711441068311428,17.33047489390141,73.43173431734317,-2.4514760147601886,5409
Split 3 (2024),0.6698249558374819,0.21418203592865426,0.16429314900481773,13.803516155818622,71.15384615384616,-9.315064102564037,6227
Split 4 (2025-26),0.6357429283624146,0.23049205679811705,0.14389134702556072,18.0087042290428,67.74891774891775,3.242857142857159,9227
