feature,importance
feat_vol_atr_pct,0.10353949357904528
feat_vol_atr_ratio,0.05395653814022128
feat_session_minutes_since_london,0.03979937812645159
feat_vol_realized_20,0.03141662964777311
feat_trend_adx,0.027706361004634233
feat_vol_realized_5,0.025345162259338905
feat_vol_bb_width,0.0252885560897673
feat_vol_squeeze_ratio,0.02520753067908175
feat_vol_atr,0.025094439018927602
feat_time_hour_cos,0.020816247957732743
feat_osc_roc_24,0.018983524262904523
feat_trend_ema200_slope,0.018706674149981412
feat_ix_swing_dist_x_vol,0.01813911249337109
feat_ix_pullback_x_adx,0.018048180269541348
feat_ix_hh_x_vol,0.017877811095620005
feat_struct_dist_swing_low,0.017577965849433892
feat_ix_atr_x_ema200_slope,0.017569709082496898
feat_ix_dist_ema200_x_atr_pct,0.01668147662676142
feat_struct_swing_pullback,0.01637871423985468
feat_trend_dist_ema200,0.01616982297914322
feat_vol_range_ratio,0.016003725853556326
feat_session_ny_overlap,0.015962929349244776
feat_trend_persistence,0.015911239077828966
feat_time_hour_sin,0.01526405235445743
feat_trend_ema50_slope,0.015010816569513837
feat_trend_di_spread,0.015005550562380192
feat_liq_volume_ratio,0.014796961019126125
feat_ix_adx_x_di_spread,0.01459711855737308
feat_osc_roc_12,0.014491625912336313
feat_ix_rsi_x_atr_ratio,0.014108579651481955
feat_ix_atr_x_ema50_slope,0.014078814427301769
feat_ix_breakout_x_squeeze,0.013976418245220504
feat_struct_breakout_strength,0.013940107271034856
feat_ix_bb_pos_x_squeeze,0.013825962476759351
feat_ix_persistence_x_vol,0.013380494612469117
feat_trend_ema20_slope,0.013024517144878353
feat_liq_tick_density,0.01256862808929027
feat_trend_higher_lows,0.01240210126932837
feat_ix_dist_ema50_x_atr_pct,0.01229567359095671
feat_liq_body_ratio,0.012162079104839667
feat_osc_rsi_5,0.011967453470320003
feat_trend_higher_highs,0.011570299397998128
feat_liq_volume_pct,0.011492918874448654
feat_trend_dist_ema50,0.011479758556526108
feat_struct_swing_breakout,0.011300751237237
feat_struct_dist_swing_high,0.011082917348541166
feat_vol_bb_position,0.010877356281899085
feat_vol_range_pct,0.010595768782322755
feat_osc_rsi,0.010202230413745843
feat_time_dow_sin,0.008959043469204593
feat_trend_dist_ema20,0.008220695346003613
feat_struct_dist_vwap,0.00803421635500501
feat_osc_momentum_5,0.007786959653007016
feat_struct_dc_position,0.007768192846729509
feat_osc_roc_5,0.007555264773883585
feat_struct_pullback_depth,0.007412773106535167
feat_time_dow_cos,0.005335084356970878
feat_trend_ema_stack,0.0007382297021598604
feat_session_london,0.0005093633360016324
