hour,trades,actual_winrate,avg_return,avg_mfe,avg_ev
0,1166,71.18353344768438,-0.29005145797594695,55.07186963979416,33.03169358820253
1,1165,72.27467811158799,-0.3074248927038,56.040042918455015,33.30314392988069
2,1165,71.50214592274679,0.21060085836913858,55.42158798283268,33.52419856635324
3,1161,70.6287683031869,-0.730749354005155,52.793152454780326,32.05714031828905
4,1161,69.25064599483204,-0.1240310077519865,51.292635658914705,30.135002551489976
5,1148,68.1184668989547,-0.8437282229965393,49.96062717770037,29.58831738794618
6,1106,67.08860759493672,0.39972875226032223,49.00302893309221,27.118798718711286
7,1105,63.80090497737556,1.5612217194570706,47.66470588235295,23.59620881065386
8,1098,62.568306010928964,0.8767304189434846,44.3151639344262,21.484710301179707
9,1105,56.470588235294116,0.22144796380091888,40.645067873303226,15.352653991491339
10,1103,42.61106074342702,-0.1326382592928642,35.70367180417048,8.184729661126081
11,1107,30.713640469738028,0.4696476964769053,31.916214995483248,3.0412409497047106
12,1100,26.090909090909093,0.36227272727266924,30.459454545454534,1.2131376702341548
13,1108,23.826714801444044,0.5779783393501282,29.280776173285236,0.5586910589485241
14,1101,22.615803814713896,-0.3328337874659797,29.659582198001782,0.18567810308047034
15,1102,28.039927404718696,1.4502268602540929,32.86320326678773,3.966025099411491
16,1099,36.85168334849864,0.44049135577800086,35.683575978161926,6.924212045297171
17,1112,42.26618705035971,1.1250899280575624,37.1357464028777,11.947188041280768
18,1107,47.60614272809395,-0.9233514001805737,38.74941282746153,14.095195487764776
19,1119,51.921358355674705,-1.291733690795391,40.09892761394099,18.344300413452665
20,1166,60.37735849056604,-1.044511149228088,45.75343053173242,24.199177982319853
21,1166,61.4065180102916,-0.33391938250430864,48.5656518010292,25.87048108898258
22,1166,66.63807890222985,-0.01565180102915267,52.30720411663809,29.78331925244039
23,1166,69.63979416809606,-0.27997427101192807,54.15943396226418,31.35254818295071
