feature,mean_importance,std_importance,cv
feat_vol_atr_pct,0.27722496938125857,0.20980551760717595,0.7568059907281915
feat_vol_atr_ratio,0.196547959917747,0.1681452050373264,0.8554919883558861
feat_time_hour_cos,0.06257416557229975,0.04303018652021013,0.6876669648993079
feat_vol_atr,0.05907085531110173,0.03156974279696868,0.5344385590949026
feat_time_hour_sin,0.040328383772947216,0.02401075225624101,0.5953809701728667
feat_session_minutes_since_london,0.024827235933747412,0.014613264303069888,0.5885981162810889
feat_vol_realized_20,0.019714287654942264,0.00874903668744987,0.4437916723436129
feat_trend_adx,0.015896101161041322,0.0070940717011137725,0.4462774632121839
feat_vol_realized_5,0.015436955991843842,0.009760765587252413,0.6322985951640686
feat_trend_ema200_slope,0.013987745860478216,0.008341084232197373,0.5963136816607995
feat_vol_bb_width,0.01395780758708162,0.006041810453364612,0.432862425969856
feat_trend_higher_lows,0.01138824347490319,0.0034106245859019356,0.29948644788093
feat_trend_dist_ema200,0.010176951375862962,0.008241475882293356,0.8098177516932976
feat_time_dow_sin,0.00948348016894444,0.004881022969959981,0.5146868958448261
feat_vol_squeeze_ratio,0.00942021290717969,0.0016507059717041194,0.1752302191011013
feat_time_dow_cos,0.009251497098777803,0.006355024004391189,0.6869184453649927
feat_ix_swing_dist_x_vol,0.008805902231166111,0.004325364331396893,0.4911892294339171
feat_struct_dist_swing_low,0.008042105795162608,0.002930166151935908,0.3643530968839563
feat_osc_roc_24,0.007915520391782234,0.003963677040342052,0.5007474991103653
feat_ix_hh_x_vol,0.007776060732724705,0.002397473725142554,0.3083146862592066
feat_osc_rsi_5,0.007380556257988518,0.005681163522547299,0.7697473366452778
feat_ix_atr_x_ema200_slope,0.007234163275482108,0.004329227498378164,0.5984420496909023
feat_ix_rsi_x_atr_ratio,0.0069329013663883225,0.0010407980016676648,0.15012444958666216
feat_ix_pullback_x_adx,0.006840656125632875,0.0014153425369860424,0.206901576543595
feat_trend_higher_highs,0.0067434639810415265,0.0019373121196413878,0.287287383025685
feat_osc_roc_12,0.006699011956362137,0.004064270792423169,0.6066970500871071
feat_trend_ema50_slope,0.006590378436400241,0.002209701519928408,0.33529205359796893
feat_ix_persistence_x_vol,0.006509228796786358,0.0029008294797174443,0.44564871972999315
feat_vol_range_ratio,0.006451684070970435,0.0017688872144433186,0.2741744938197586
feat_ix_adx_x_di_spread,0.006311030970639276,0.0030843833342653264,0.4887289174486326
feat_trend_ema20_slope,0.006022774524302597,0.0018248591089826465,0.3029930975531505
feat_trend_persistence,0.0055712982214760004,0.0018994435668365675,0.34093374494200906
feat_ix_atr_x_ema50_slope,0.005511610998163796,0.002085112842094457,0.3783127733051401
feat_ix_dist_ema200_x_atr_pct,0.0054666197070957,0.003024719210698808,0.5533070476390936
feat_trend_di_spread,0.005350290288916416,0.0015763552210727105,0.29462984921365204
feat_struct_swing_pullback,0.005216075008485885,0.0010700674627228482,0.2051480204908836
feat_vol_bb_position,0.00517812937123114,0.0020463489653913,0.3951907761827057
feat_ix_bb_pos_x_squeeze,0.005173212971582251,0.0012652723718856742,0.24458153546666855
feat_ix_breakout_x_squeeze,0.005107797520017268,0.0016438558193988904,0.32183261238462973
feat_struct_swing_breakout,0.005016678373832512,0.0013918154150638475,0.27743764127349557
feat_liq_body_ratio,0.004612076374727353,0.0016072536507859112,0.3484880821994032
feat_vol_range_pct,0.004582635842257567,0.002210218738455428,0.4823029397349182
feat_struct_breakout_strength,0.004538115714959566,0.0009728839268062389,0.21438059051672004
feat_struct_dist_swing_high,0.004536418764854171,0.0012228917899804546,0.2695720684904111
feat_trend_dist_ema50,0.004329548231672272,0.0015545906033267137,0.3590653158577376
feat_ix_dist_ema50_x_atr_pct,0.00413957661392572,0.0012094229536819864,0.29216102671307825
feat_osc_roc_5,0.003201370361363936,0.0013325541893686689,0.4162449323110924
feat_struct_pullback_depth,0.0031281284524244573,0.0008504536900205051,0.2718730074403948
feat_struct_dc_position,0.003037474396155334,0.00038727810040765047,0.12750003782677002
feat_liq_volume_pct,0.002896354620642238,0.005792709241284476,2.0
feat_osc_momentum_5,0.002811831155856611,0.0013241039551607004,0.4709045037796085
feat_struct_dist_vwap,0.0027713891366816673,0.0011513480756700518,0.4154407839848223
feat_osc_rsi,0.0027463582053251574,0.0008493688042779832,0.30927094747912587
feat_trend_dist_ema20,0.002664330409784745,0.000889471629038518,0.33384434069135577
feat_liq_tick_density,0.0019151713819720423,0.0038303427639440847,2.0
feat_session_ny_overlap,0.0016828696166275472,0.0027011459228731684,1.6050833030584009
feat_liq_volume_ratio,0.0016090704401736386,0.0032181408803472773,2.0
feat_trend_ema_stack,0.0014067496394750125,0.0004148839899383465,0.29492382887204993
feat_session_london,0.00025652609733295276,0.00023218625350853372,0.905117475073783
