feature,Random Forest,HistGradient Boosting,Extra Trees,Logistic Regression,Ridge,Consensus Score
feat_time_hour_cos,0.7812934775437426,0.9999999779735688,0.5375837363500633,0.9999999971596957,0.61114460236102,0.786004358277618
feat_vol_atr_pct,0.933385652609984,0.1204111574065089,0.5644422785645028,0.577148273973355,0.2964087658869099,0.49835922568825214
feat_vol_atr_ratio,0.9999999928002207,0.11894272865764838,0.24139174612764788,0.787257939439009,0.3067876147644026,0.49087600435778567
feat_session_ny_overlap,0.6963014835055761,0.03524228997263619,0.9999999960498713,0.24532120086144016,0.020126661837840835,0.3993983264454729
feat_time_hour_sin,0.39987088512252705,0.15859030487686532,0.27733983129913675,0.7749736302929356,0.3750238168110399,0.39715969368050097
feat_session_minutes_since_london,0.7848203796399396,0.0,0.33591746053556426,0.34271891457718845,0.09411618843495706,0.3115145886375299
feat_vol_atr,0.26872085044695976,0.12628487240194772,0.06035220770729165,0.08928189262531025,0.999999999913833,0.30892796461906846
feat_liq_volume_pct,0.0782356214598313,0.10719529866676991,0.03735187668291219,0.5734806763936235,0.2800987533891715,0.2152724453184617
feat_ix_rsi_x_atr_ratio,0.33071714000677815,0.09251101117817123,0.10821874195099652,0.31062698758789975,0.08043823979809545,0.18450242410438822
feat_osc_rsi,0.014972103368960725,0.04111600496807583,0.006847611653070246,0.41291328259118376,0.25888115793418376,0.14694603210309487
feat_struct_dist_vwap,0.01968656452475497,0.06020557870325444,0.0025535255934450215,0.39632937255997164,0.21943577612649773,0.13964216350158476
feat_liq_tick_density,0.10325508905230307,0.45227605464883824,0.02584378836976596,0.007414999291929146,0.015617650354539178,0.12088151634347513
feat_vol_range_ratio,0.09473577055670815,0.06461086494983438,0.021413773994825722,0.2895881723442043,0.11143953292744328,0.11635762295460317
feat_vol_range_pct,0.13087586581177588,0.06607929369869328,0.12007133552210092,0.17257214762448356,0.025399680113358088,0.10299966455408235
feat_osc_rsi_5,0.012169111923757551,0.05286343495895429,0.0016249952893840503,0.4231853218162717,0.004116898909276532,0.09879195257952883
feat_ix_persistence_x_vol,0.015406953466623578,0.033773861223776486,0.0031800669821987703,0.3373502544996567,0.09786464486338813,0.09751515620712874
feat_ix_hh_x_vol,0.19156920790025003,0.12334801490422749,0.11992117428383388,0.019534615564776824,0.02941190112736171,0.09675698275608999
feat_vol_squeeze_ratio,0.07018480647218842,0.10425844116904968,0.028117540464616824,0.13771020384241806,0.044877938761156436,0.07702978614188587
feat_vol_bb_position,0.02447231885219305,0.04258443371693554,0.006502319328688354,0.23659731161985195,0.06956350419961012,0.0759439775434558
feat_vol_bb_width,0.030836937587134638,0.11747429990878949,0.017471729188980885,0.012254770915893616,0.1919254603093262,0.07399263958202495
feat_struct_breakout_strength,0.026305105898077556,0.0690161511964135,0.005718677027728339,0.25105573637529466,0.010301620371997207,0.07247945817390225
feat_time_dow_cos,0.005655032486219706,0.10132158367133028,0.005286959920551369,0.05134777410335333,0.17477176267005637,0.0676766225703022
feat_struct_dist_swing_low,0.06267907942764048,0.09251101117817123,0.009050807661325029,0.15948575107821783,0.008988767450402129,0.06654308335915134
feat_ix_breakout_x_squeeze,0.013915451337348275,0.07488986619185233,0.004525099895014521,0.1996008648647646,0.03594484888775342,0.06577522623534662
feat_struct_swing_pullback,0.026569950192645936,0.0719530086941329,0.00854014123696594,0.13830224989059797,0.07221150347405358,0.06351537069767926
feat_trend_di_spread,0.012659495327452825,0.05286343495895511,0.0035783587112430335,0.1942750444528432,0.05183172700137233,0.0630416120903733
feat_trend_adx,0.014622142939108617,0.11160058491334902,0.001557326496182104,0.07968884616625962,0.09530864879868643,0.06055550986271716
feat_session_london,0.050667434444790764,0.019089573735178618,0.01622478060917308,0.19024292929706127,0.020483878010295088,0.059341719219299774
feat_vol_realized_5,0.09455592277735701,0.07782672368957254,0.009148811170369234,0.07089019975672241,0.03551482972441943,0.05758729742368812
feat_struct_pullback_depth,0.014923804391196399,0.06901615119641269,0.0063616416963474965,0.14034696497915383,0.04984138227986483,0.056097988908595055
feat_ix_atr_x_ema50_slope,0.08493610319708995,0.05286343495895429,0.03472086083164929,0.07535438084531196,0.02694711798095219,0.05496437956279153
feat_trend_dist_ema20,0.018867925118181597,0.04698971996351465,0.007142600024589755,0.11510504660087953,0.08307654798355071,0.05423636793814326
feat_trend_higher_highs,0.02370978727886547,0.08516886743387189,0.00868244596855704,0.13309702481973248,0.007618684829470181,0.05165536206609942
feat_trend_dist_ema50,0.038305497977892206,0.05726872120553423,0.010496615852795894,0.08204085761801011,0.06392455110990773,0.05040724875282804
feat_trend_persistence,0.012736569160160612,0.0176211449863181,0.002078021950985743,0.15171797041634055,0.05261937128007426,0.047354615558775855
feat_liq_volume_ratio,0.14399950004314827,0.019089573735178618,0.04363378227829073,0.007414999291929146,0.015617650354541135,0.04595110114061758
feat_osc_roc_12,0.058395914641416316,0.05726872120553423,0.022281440946665336,0.03709378166591286,0.04057600757053016,0.04312317320601178
feat_trend_ema20_slope,0.020703973374807037,0.04111600496807502,0.008460499848332768,0.1018828610340241,0.030449813285088716,0.040522630502065525
feat_ix_dist_ema50_x_atr_pct,0.06004158641313141,0.030837003726057074,0.02746559505298943,0.03349903179478462,0.04859527668555217,0.04008769873450294
feat_ix_adx_x_di_spread,0.012399046286794228,0.08957415368045102,0.004138399977097497,0.08983704355206798,0.001507124933711851,0.039491153686024516
feat_ix_bb_pos_x_squeeze,0.025780738555033024,0.06314243620097386,0.009845611563289223,0.01894177616226115,0.07433764138803693,0.03840964077391884
feat_ix_pullback_x_adx,0.021733665793269304,0.033773861223775674,0.0036076031539842334,0.057116208600191586,0.06778005886580306,0.036802279527404766
feat_trend_dist_ema200,0.028496561597404314,0.06607929369869409,0.009822692746180865,0.06833772835443201,0.01095887507710098,0.03673903029476245
feat_osc_roc_24,0.024019687386028582,0.04698971996351547,0.0029793497168941765,0.058631081324010896,0.050218703467549496,0.03656770837159973
feat_ix_swing_dist_x_vol,0.028338405991024496,0.03964757621921613,0.004647342629321974,0.06339412464310074,0.044566029848798386,0.036118695866292336
feat_struct_dist_swing_high,0.0208089080943772,0.12481644365308803,0.0030772228131389586,0.016090789713988612,0.0031407258575087004,0.0335868180264203
feat_vol_realized_20,0.03976760830006643,0.0704845799452724,0.011104104433490882,0.03318691609144082,0.010758989243938543,0.033060439602841815
feat_trend_ema50_slope,0.02251732172022193,0.08516886743387107,0.004262193175216885,0.044959103441048476,0.00571499317325418,0.032524495788722504
feat_time_dow_sin,0.006005877899723073,0.0558002924566737,0.009473610312434752,0.05852547967328009,0.029407965529205746,0.031842645174263474
feat_trend_ema200_slope,0.030909559232500643,0.04992657746123488,0.015833871424439143,0.0060746750817717,0.048135537812810845,0.030176044202551443
feat_ix_atr_x_ema200_slope,0.039438421601162184,0.05139500621009459,0.01927731754037199,0.008525552898486742,0.024830189278817024,0.02869329750578651
feat_trend_higher_lows,0.01363364183721268,0.0704845799452732,0.00655033652409675,0.010479801074770976,0.03624675083615933,0.02747902204350259
feat_liq_body_ratio,0.006686592476604224,0.06901615119641269,0.0,0.01886292937292152,0.03758906814859877,0.02643094823890744
feat_ix_dist_ema200_x_atr_pct,0.027602090846899942,0.04992657746123488,0.019274410003894,0.01412132875059173,0.014004980678729215,0.024985877548269954
feat_struct_dc_position,0.013997612004122077,0.045521291214654945,0.007280237781263941,0.04771756436722132,0.0,0.022903341073452453
feat_osc_roc_5,0.01666869450303215,0.06167400745211415,0.0013121219042692895,0.022592199708817474,0.011339552344016514,0.02271731518244991
feat_osc_momentum_5,0.014426130883818842,0.019089573735178618,0.004482389764957648,0.022592199708817474,0.011339552344015466,0.014385969287357612
feat_struct_swing_breakout,0.01977796853998175,0.019089573735178618,0.0021661384888443593,0.016090789713988612,0.0031407258575088955,0.012053039267100447
feat_trend_ema_stack,0.0,0.019089573735178618,0.0028556505782858697,0.0,0.0008293102993899788,0.004554906922570893
