feature,mean_abs_shap,mean_shap,std_shap
feat_vol_atr_pct,0.6802807696726363,-0.018675608257641127,0.8068824621321361
feat_session_minutes_since_london,0.34837780947435976,0.04380168979470594,0.3827108867764246
feat_vol_atr_ratio,0.2753758174445488,-0.046688015202920666,0.3205185173304671
feat_time_hour_cos,0.11651846377913011,0.0013675789368928395,0.1353727416627691
feat_vol_atr,0.09796003208552605,-0.030871979336180147,0.15329946564926886
feat_time_dow_cos,0.06658404397392284,0.004113513440339359,0.10683328867165715
feat_session_ny_overlap,0.04214715402009717,0.008234853974484558,0.05190331496863834
feat_time_hour_sin,0.034524740545334144,0.001960305448935039,0.04440843587006355
feat_liq_volume_ratio,0.030914347925837235,0.0016351514902017401,0.05591064574450213
feat_liq_tick_density,0.025524951880137592,0.003447777062628435,0.046115635276537004
feat_time_dow_sin,0.02389269682010219,-0.00018151988992403878,0.034749909047564274
feat_trend_adx,0.021412070664366564,-0.0015852379925952614,0.04456447896549463
feat_vol_range_pct,0.01813726961396006,0.0023125992005216243,0.027924925630251573
feat_liq_volume_pct,0.016552321232324797,-0.0004301009241568341,0.032369684139740645
feat_vol_bb_width,0.010763747371735452,0.00028316702865425493,0.01790721524438632
feat_ix_hh_x_vol,0.010198538609281261,0.006380418823261946,0.01423263203696204
feat_ix_atr_x_ema50_slope,0.009228751646126574,0.001401106869459212,0.019076506963138975
feat_trend_higher_lows,0.007702570725331942,-0.0003141506342367828,0.015907285371908844
feat_vol_realized_20,0.007581889203654301,0.001828366838266589,0.03513146626418335
feat_vol_range_ratio,0.007396419986493407,0.0008344163169917201,0.014486794069466938
feat_vol_realized_5,0.007067605232020694,0.0036301653354274864,0.04490063630733585
feat_trend_ema200_slope,0.006474833146978115,-0.0002096074936834978,0.020109432757112702
feat_ix_rsi_x_atr_ratio,0.006200065761392784,0.005944698110005729,0.006737557747600719
feat_ix_dist_ema50_x_atr_pct,0.0054591892745554805,6.357096088434141e-06,0.012086307715988155
feat_vol_squeeze_ratio,0.00540281116036588,0.0018980163966920293,0.009913505447481565
feat_trend_ema50_slope,0.005125508229577671,-0.00029096522396102466,0.010208837083316172
feat_struct_dist_swing_low,0.005068384576094704,-0.0009304213135917928,0.008676969632174415
feat_ix_atr_x_ema200_slope,0.004777754024702245,0.0030530192190976516,0.006915376172369248
feat_ix_swing_dist_x_vol,0.004327966356850856,0.00047772233055801605,0.009366028368137123
feat_ix_pullback_x_adx,0.004310218083665392,0.0002078814861769629,0.009388339848776977
feat_trend_dist_ema200,0.004230799627436031,0.0003301621048238334,0.011995458830829439
feat_osc_roc_24,0.003947630806081668,8.574687517720936e-06,0.006674359577357849
feat_trend_higher_highs,0.003792163428123921,0.000605601213781274,0.006606666023103693
feat_ix_persistence_x_vol,0.002853956850276361,-0.0001609951461408301,0.007433973761017697
feat_ix_adx_x_di_spread,0.0027254413738760476,0.0006311002196284105,0.00712484199560763
feat_ix_dist_ema200_x_atr_pct,0.002670106681986076,0.0020101383848318303,0.0037178148466685593
feat_trend_dist_ema50,0.002645849088532266,0.00035090788107948316,0.00423735107131612
feat_trend_persistence,0.0025793313256956517,-0.00010414422370864251,0.005375081675449404
feat_osc_roc_12,0.00253549825988149,0.0014222682317079156,0.0062621312908170985
feat_liq_body_ratio,0.002357397881477668,8.599221726397883e-05,0.0084613852191536
feat_trend_di_spread,0.0022086990374837663,0.0007802345145037981,0.00434047411905567
feat_trend_ema20_slope,0.002207059944714391,2.761842918522103e-05,0.004643518829841388
feat_ix_breakout_x_squeeze,0.0021986687969714563,0.00036560443828829493,0.007264544683847776
feat_osc_rsi_5,0.0021219286156087297,0.00021849730087931564,0.009178868322580762
feat_struct_swing_pullback,0.002088632491165345,0.0006561917172132508,0.005450062566059044
feat_struct_breakout_strength,0.0020765958985589895,-8.374429176316226e-05,0.005770537485916725
feat_vol_bb_position,0.0020480295439382575,8.172192198085993e-05,0.006881150171151194
feat_struct_dist_vwap,0.0019591480621962507,0.00012401414262278412,0.005152843182128846
feat_ix_bb_pos_x_squeeze,0.0019444567843631584,0.0004277732201282785,0.004349009827041719
feat_struct_dist_swing_high,0.00182022634120941,-0.0003124193834635153,0.0036933529878751255
feat_session_london,0.0017674079621475183,0.000377202353600434,0.0037682743332057306
feat_trend_dist_ema20,0.001522784077724662,9.302206905566308e-05,0.005102903254663499
feat_osc_rsi,0.0014919352224602187,0.0003263959448641973,0.0035301530813960477
feat_osc_momentum_5,0.0014476121060880954,0.0004360689866538054,0.006224323007705191
feat_struct_swing_breakout,0.0013533438430357154,-3.9008362997254756e-05,0.0032829691342244564
feat_struct_dc_position,0.0013165920554241359,-2.9233771409213464e-05,0.00393680187010611
feat_osc_roc_5,0.0013090736553030436,0.0007139541250889854,0.007072444960667719
feat_struct_pullback_depth,0.001260084672703523,-4.227021858030078e-05,0.004318369583342547
feat_trend_ema_stack,0.0005598789471341401,0.0002573962083663386,0.0018624576791294064
