bin,pred_winrate,actual_winrate,diff,avg_pnl_pips,trades
0.0 - 0.2,14.354196965862121,20.196413321947055,5.8422163560849345,1.037766865926517,2342
0.2 - 0.4,29.849621162294724,33.587786259541986,3.7381650972472613,0.6068300522297903,4978
0.4 - 0.6,51.231999248505176,53.1589727430282,1.9269734945230255,-0.3584370568772555,6347
0.6 - 0.8,68.84947280051227,67.20187061574435,-1.6476021847679192,0.054080280592372826,12830
0.8 - 1.0,82.98338685900171,72.56198347107437,-10.421403387927342,-4.872148760330568,605
